Array Size,Array Range,Sorting Method,Min Time,Avg Time,Max Time
700,9999,Heap Sort,0.006567399999767076,0.0068299149999802465,0.00691730000107782
700,9999,Insertion Sort,0.04479340000034426,0.045266974999321974,0.04662330000064685
700,9999,Quick Sort,0.0028815000005124602,0.0029738200002611846,0.0030649000000266824
700,9999,Bucket Sort,0.0013361999990593176,0.0013779550003164332,0.0014551999993273057
20,9999,Heap Sort,0.00017830000069807284,0.00018746000023384113,0.00023720000172033906
20,9999,Insertion Sort,8.560000060242601e-05,8.743999987927963e-05,0.00011629999789875001
20,9999,Quick Sort,9.43000013648998e-05,0.00010523000000830506,0.00012280000009923242
20,9999,Bucket Sort,0.0001007999999274034,0.00010864999985642499,0.0007773000033921562
Array Size,Array Range,Sorting Method,Min Time,Avg Time,Max Time
